Date,SPY,FXE,EWJ,GLD,QQQ,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ,Mkt-RF,SMB,HML,RF
2007-08-14,114.41304,128.80751,48.001114,66.290001,42.323246000000005,103.23687,25.504385,54.23,16.382299,30.286773999999998,46.08276,29.506978999999998,38.848099,-1.83,-0.04,-0.19,0.018000000000000002
2007-08-15,112.836922,127.98054499999999,47.206852000000005,66.129997,41.518211,103.340591,25.281848999999998,55.130001,16.335756,28.784044,44.907684,28.203378999999998,37.93507,-1.46,0.04,-0.04,0.018000000000000002
2007-08-16,113.684998,127.685829,47.310452000000005,64.68,41.111164,103.444412,24.769053,53.580002,16.382299,28.028814,44.458599,27.437437,37.996857,0.31,1.2,1.16,0.018000000000000002
2007-08-17,115.77307900000001,128.427246,46.965126,65.010002,41.88908,103.48214,24.943213,54.029999,16.615004000000003,29.311784999999997,44.750507,28.322861,38.896133,2.36,-0.42,0.38,0.018000000000000002
2007-08-20,115.717049,128.417786,46.447124,65.120003,42.088058000000004,103.614159,25.059317,53.540001000000004,16.751522,29.528447999999997,44.705585,29.016253000000003,38.60783,0.0,0.16,-0.32,0.018000000000000002
2007-08-21,115.949074,128.246658,47.03418,65.07,42.531281,103.661331,25.214123,52.43,16.853907,29.497496,44.787922,28.864779,38.511715,0.15,-0.06,0.08,0.018000000000000002
2007-08-22,117.325134,128.96903999999998,47.655788,65.400002,43.110199,103.670807,25.823673,52.349998,16.844599,30.959991,46.269871,29.880352000000002,39.390419,1.2,0.05,-0.01,0.018000000000000002
2007-08-23,117.22112299999999,129.149704,48.001114,65.309998,42.992607,103.661331,25.736593,52.650002,16.82909,31.261776,46.08276,30.50975,39.287445,-0.23,-0.98,0.16,0.018000000000000002
2007-08-24,118.66922,130.214279,48.242851,66.110001,43.598652,103.519882,25.862373,53.639998999999996,16.9625,32.181049,47.220425,31.119944,40.179863,1.21,0.12,-0.22,0.018000000000000002
2007-08-27,117.565201,130.033676,47.862976,65.980003,43.3092,103.47269399999999,25.746269,54.330002,16.931479,32.159393,46.898579,30.893789,39.809174,-0.85,-0.11,-0.15,0.018000000000000002
2007-08-28,114.98105600000001,129.729538,47.414051,65.589996,42.278034000000005,103.567017,25.630164999999998,54.029999,16.689465,30.480234000000003,46.329758,29.805677000000003,38.717667,-2.33,-0.07,-0.41,0.018000000000000002
2007-08-29,117.23712900000001,130.318848,47.862976,66.07,43.490108,103.585884,25.678542999999998,55.549999,16.909758,31.654867,47.968884,30.981264000000003,39.822899,2.13,0.11,0.01,0.018000000000000002
2007-08-30,116.925133,129.84356699999998,47.552184999999994,65.800003,43.716236,103.65193199999999,26.017179000000002,55.5,17.002838,31.705923,47.527283,30.390271999999996,39.582634000000006,-0.43,0.0,-0.48,0.018000000000000002
2007-08-31,118.07718700000001,129.862595,48.588177,66.519997,44.204689,103.633049,25.775295,55.779999,17.275876999999998,32.831047,48.694885,31.181820000000002,40.186737,1.12,0.05,-0.08,0.018000000000000002
2007-09-04,119.269241,129.73196399999998,48.311913,67.440002,44.937346999999995,103.63114200000001,26.452576,56.75,17.688536,33.474865,49.361012,31.732281,40.475063,1.03,-0.2,0.05,0.017
2007-09-05,118.237167,130.218185,47.37952,67.559998,44.485096,103.67849,26.433224,57.259997999999996,17.710255,32.809391,48.530224,31.066599,39.802310999999996,-1.05,0.03,-0.32,0.017
2007-09-06,118.50920900000001,130.513611,47.414051,68.860001,44.448933000000004,103.63114200000001,26.007505,57.630001,17.778517,33.296883,48.934395,31.683201,40.028843,0.42,0.0,-0.19,0.017
2007-09-07,116.861122,131.409775,47.172325,69.389999,43.625782,103.75425,26.123611,57.759997999999996,17.589251,32.416294,48.036247,31.149813,39.452202,-1.7,-0.3,0.19,0.017
2007-09-10,116.63710800000001,131.676651,46.757923,69.620003,43.598652,103.76371800000001,26.007505,58.790001000000004,17.505474,31.973669,48.552689,31.356768,39.52084,-0.27,-0.51,-0.22,0.017
2007-09-11,117.99717700000001,132.03891000000002,47.24139,70.519997,44.258953000000005,103.75425,26.113935,58.959998999999996,17.738178,32.834145,49.398445,32.269932,40.083763,1.35,0.05,-0.33,0.017
2007-09-12,118.301193,132.74437,47.103249,70.459999,44.268013,103.811081,26.481602000000002,60.0,17.673023,32.979618,49.443348,32.321125,40.13868,-0.03,-0.44,-0.2,0.017
2007-09-13,119.13321699999999,132.515579,46.757923,70.08000200000001,44.485096,103.773232,26.278418,60.169998,17.573738,33.464016,49.772671,32.600628,40.399547999999996,0.69,-0.68,0.3,0.017
2007-09-14,119.12523700000001,132.496506,46.896057,69.989998,44.521271,103.773232,26.481602000000002,59.790001000000004,17.524092,33.474865,49.420906,32.643303,40.214195000000004,0.1,0.36,-0.06,0.017
2007-09-17,118.485184,132.37252800000002,46.654327,70.970001,44.15041,103.801598,26.675109999999997,60.669998,17.344137,32.835693,48.949368,31.928568,39.857239,-0.6,-0.44,0.04,0.017
2007-09-18,121.973351,133.459305,47.137791,71.699997,45.263,103.83946999999999,26.800890000000003,62.049999,17.831263,34.976051,49.233784,33.223625,41.614616,2.88,0.59,0.36,0.017
2007-09-19,122.693405,133.335419,47.655788,71.43,45.380581,103.905785,26.994396000000002,61.82,17.82505,35.171043,50.738186,33.656731,41.882351,0.59,0.6,0.24,0.017
2007-09-20,121.829361,134.44116200000002,47.483115999999995,72.720001,45.253941,103.905785,27.691028999999997,62.650002,17.722668,34.923424,50.334015,33.571388,42.074574,-0.65,-0.14,-0.31,0.017
2007-09-21,122.15812700000001,134.63183600000002,47.586723,72.339996,45.576134,103.934174,27.836159000000002,62.139998999999996,17.797129,35.362938,50.745682,33.816753000000006,42.324141999999995,0.43,-0.24,-0.24,0.017
2007-09-24,121.933044,134.555588,47.75938,72.279999,45.784286,103.943611,27.894211,61.82,17.902624,35.858189,50.872917,34.269062,42.055267,-0.56,-0.38,-0.63,0.017
2007-09-25,121.691933,135.16571000000002,48.035652,72.33000200000001,46.218689000000005,103.972092,27.826483000000003,61.07,17.905727,35.937111,51.089973,34.638165,42.131096,-0.03,-0.29,-0.38,0.017
2007-09-26,122.334961,135.032196,48.450047,72.0,46.444946,104.000488,28.116745,61.700001,18.110498,36.678425,51.366882,34.971004,42.344826,0.6,0.12,-0.08,0.017
2007-09-27,123.05841799999999,135.280151,49.555107,72.699997,46.680244,104.009918,28.977859000000002,63.439999,18.048447,37.319126000000004,52.00309,35.280361,42.744698,0.43,0.2,-0.03,0.017
2007-09-28,122.64848300000001,136.347733,49.520569,73.510002,46.526375,103.972092,28.542463,62.549999,18.011219,37.37484,51.568981,35.480919,42.937725,-0.37,-0.54,0.03,0.017
2007-10-01,124.031006,136.15846299999998,50.073109,73.900002,47.060340999999994,103.995789,28.397333000000003,61.59,18.228405,38.876026,52.497078,36.248989,43.34449,1.37,0.81,0.07,0.013999999999999999
